title,studio,domestic_gross,foreign_gross,year
toy story 3 (2010),bv,415000000.0,652000000.0,2010
alice in wonderland (2010) (2010),bv,334200000.0,691300000.0,2010
harry potter and the deathly hallows part 1 (2010),wb,296000000.0,664300000.0,2010
inception (2010),wb,292600000.0,535700000.0,2010
shrek forever after (2010),p/dw,238700000.0,513900000.0,2010
the twilight saga: eclipse (2010),sum.,300500000.0,398000000.0,2010
iron man 2 (2010),par.,312400000.0,311500000.0,2010
tangled (2010),bv,200800000.0,391000000.0,2010
despicable me (2010),uni.,251500000.0,291600000.0,2010
how to train your dragon (2010),p/dw,217600000.0,277300000.0,2010
clash of the titans (2010) (2010),wb,163200000.0,330000000.0,2010
the chronicles of narnia: the voyage of the dawn treader (2010),fox,104400000.0,311300000.0,2010
the king's speech (2010),wein.,135500000.0,275400000.0,2010
tron legacy (2010),bv,172100000.0,228000000.0,2010
the karate kid (2010),sony,176600000.0,182500000.0,2010
prince of persia: the sands of time (2010),bv,90800000.0,245600000.0,2010
black swan (2010),foxs,107000000.0,222400000.0,2010
megamind (2010),p/dw,148400000.0,173500000.0,2010
robin hood (2010),uni.,105300000.0,216400000.0,2010
the last airbender (2010),par.,131800000.0,187900000.0,2010
little fockers (2010),uni.,148400000.0,162200000.0,2010
resident evil: afterlife (2010),sgem,60100000.0,240100000.0,2010
shutter island (2010),par.,128000000.0,166800000.0,2010
salt (2010),sony,118300000.0,175200000.0,2010
sex and the city 2 (2010),wb (nl),95300000.0,193000000.0,2010
the tourist (2010),sony,67600000.0,210700000.0,2010
the expendables (2010),lgf,103100000.0,171400000.0,2010
grown ups (2010),sony,162000000.0,109400000.0,2010
knight & day (2010),fox,76400000.0,185500000.0,2010
true grit (2010),par.,171200000.0,81000000.0,2010
gulliver's travels (2010),fox,42800000.0,194600000.0,2010
percy jackson & the olympians: the lightning thief (2010),fox,88800000.0,137700000.0,2010
the social network (2010),sony,97000000.0,128000000.0,2010
valentine's day (2010),wb (nl),110500000.0,106000000.0,2010
the sorcerer's apprentice (2010),bv,63200000.0,152100000.0,2010
due date (2010),wb,100500000.0,111200000.0,2010
eat pray love (2010),sony,80600000.0,124000000.0,2010
yogi bear (2010),wb,100200000.0,101300000.0,2010
red (2010),sum.,90400000.0,108600000.0,2010
paranormal activity 2 (2010),par.,84800000.0,92800000.0,2010
the a-team (2010),fox,77200000.0,100000000.0,2010
jackass 3-d (2010),par.,117200000.0,54500000.0,2010
the other guys (2010),sony,119200000.0,51200000.0,2010
unstoppable (2010),fox,81600000.0,86200000.0,2010
step up 3-d (2010),bv,42400000.0,116900000.0,2010
the book of eli (2010),wb,94800000.0,62300000.0,2010
the town (2010),wb,92200000.0,61800000.0,2010
date night (2010),fox,98700000.0,53600000.0,2010
legend of the guardians: the owls of ga'hoole (2010),wb,55700000.0,84400000.0,2010
the wolfman (2010),uni.,62000000.0,77800000.0,2010
the bounty hunter (2010),sony,67099999.0,69300000.0,2010
saw 3d (2010),lgf,45700000.0,90400000.0,2010
wall street: money never sleeps (2010),fox,52500000.0,82300000.0,2010
the fighter (2010),par.,93600000.0,35600000.0,2010
predators (2010),fox,52000000.0,75200000.0,2010
a nightmare on elm street (2010) (2010),wb (nl),63100000.0,52600000.0,2010
dear john (2010),sgem,80000000.0,35000000.0,2010
cats & dogs: the revenge of kitty galore (2010),wb,43600000.0,68900000.0,2010
tooth fairy (2010),fox,60000000.0,52400000.0,2010
life as we know it (2010),wb,53400000.0,52300000.0,2010
hereafter (2010),wb,32700000.0,72500000.0,2010
the girl with the dragon tattoo (2010),mbox,10100000.0,94300000.0,2010
love and other drugs (2010),fox,32400000.0,70500000.0,2010
aftershock (tangshan dadizhen) (2010),cl,63000.0,100200000.0,2010
killers (2010),lgf,47100000.0,51100000.0,2010
kick-ass (2010),lgf,48100000.0,48100000.0,2010
green zone (2010),uni.,35100000.0,59800000.0,2010
nanny mcphee returns (2010),uni.,29000000.0,64200000.0,2010
get him to the greek (2010),uni.,61000000.0,30300000.0,2010
burlesque (2010),sgem,39400000.0,50100000.0,2010
the last song (2010),bv,63000000.0,26100000.0,2010
dinner for schmucks (2010),p/dw,73000000.0,13800000.0,2010
marmaduke (2010),fox,33600000.0,50100000.0,2010
piranha 3d (2010),w/dim.,25000000.0,58200000.0,2010
oceans (2010),bv,19400000.0,63200000.0,2010
edge of darkness (2010),wb,43300000.0,37800000.0,2010
vampires suck (2010),fox,36700000.0,43900000.0,2010
letters to juliet (2010),sum.,53000000.0,26100000.0,2010
the back-up plan (2010),cbs,37500000.0,40000000.0,2010
if you are the one 2 (fei cheng wu rao ii) (2010),cl,427000.0,75600000.0,2010
diary of a wimpy kid (2010),fox,64000000.0,11700000.0,2010
easy a (2010),sgem,58400000.0,16600000.0,2010
hubble 3d (2010),wb,52400000.0,21500000.0,2010
takers (2010),sgem,57700000.0,11300000.0,2010
tales from earthsea (2010),bv,48500.0,68600000.0,2010
legion (2010) (2010),sgem,40200000.0,27800000.0,2010
the american (2010),focus,35600000.0,32299999.0,2010
the last exorcism (2010),lgf,41000000.0,26700000.0,2010
the next three days (2010),lgf,21100000.0,46300000.0,2010
the girl who played with fire (2010),mbox,7600000.0,59500000.0,2010
skyline (2010),uni.,21400000.0,45400000.0,2010
hot tub time machine (2010),mgm,50300000.0,14300000.0,2010
devil (2010),uni.,33600000.0,29100000.0,2010
127 hours (2010),foxs,18300000.0,42400000.0,2010
tyler perry's why did i get married too? (2010),lgf,60100000.0,578000.0,2010
secretariat (2010),bv,59700000.0,537000.0,2010
the ghost writer (2010),sum.,15500000.0,44700000.0,2010
morning glory (2010),par.,31000000.0,29000000.0,2010
remember me (2010),sum.,19100000.0,37000000.0,2010
cop out (2010),wb,44900000.0,10700000.0,2010
the crazies (2010),over.,39100000.0,15700000.0,2010
from paris with love (2010),lgf,24100000.0,28700000.0,2010
daybreakers (2010),lgf,30100000.0,21300000.0,2010
alpha and omega (2010),lgf,25100000.0,25400000.0,2010
the switch (2010),mira.,27800000.0,22100000.0,2010
she's out of my league (2010),par.,32000000.0,17800000.0,2010
death at a funeral (2010) (2010),sgem,42700000.0,6300000.0,2010
how do you know (2010),sony,30200000.0,18500000.0,2010
charlie st. cloud (2010),uni.,31200000.0,17000000.0,2010
scott pilgrim vs. the world (2010),uni.,31500000.0,16100000.0,2010
heartbreaker (2010),ifc,504000.0,46900000.0,2010
the spy next door (2010),lgf,24300000.0,20900000.0,2010
"the good, the bad, the weird (2010)",ifc,128000.0,44100000.0,2010
machete (2010),fox,26600000.0,17500000.0,2010
the girl who kicked the hornet's nest (2010),mbox,5200000.0,38300000.0,2010
the man from nowhere (2010),cj,528000.0,42500000.0,2010
when in rome (2010),bv,32700000.0,10400000.0,2010
my name is khan (2010),foxs,4000000.0,38300000.0,2010
going the distance (2010),wb (nl),17800000.0,24200000.0,2010
the concert (2010),wein.,658000.0,40500000.0,2010
agora (2010),nm,619000.0,38400000.0,2010
for colored girls (2010),lgf,37700000.0,17300.0,2010
brooklyn's finest (2010),over.,27200000.0,9300000.0,2010
furry vengeance (2010),sum.,17600000.0,18600000.0,2010
faster (2010),cbs,23200000.0,12400000.0,2010
the kids are all right (2010),focus,20800000.0,13900000.0,2010
you will meet a tall dark stranger (2010),spc,3200000.0,31000000.0,2010
the secret in their eyes (2010),spc,6400000.0,27600000.0,2010
avatar: special edition (2010),fox,10700000.0,22500000.0,2010
leap year (2010),uni.,25900000.0,6700000.0,2010
you again (2010),bv,25700000.0,6300000.0,2010
mesrine: killer instinct (2010),mbox,552000.0,30500000.0,2010
the losers (2010),wb,23600000.0,5800000.0,2010
case 39 (2010),parv,13300000.0,14900000.0,2010
ramona and beezus (2010),fox,26200000.0,1100000.0,2010
splice (2010),wb,17000000.0,9800000.0,2010
fair game (2010) (2010),sum.,9500000.0,14600000.0,2010
let me in (2010),over.,12100000.0,12000000.0,2010
mao's last dancer (2010),gold.,4800000.0,17500000.0,2010
just wright (2010),foxs,21500000.0,29900.0,2010
our family wedding (2010),foxs,20300000.0,1200000.0,2010
my soul to take (2010),uni.,14700000.0,6200000.0,2010
71 into the fire (2010),js,177000.0,20800000.0,2010
"i love you, phillip morris (2010)",ratt.,2000000.0,18700000.0,2010
country strong (2010),sgem,20200000.0,310000.0,2010
another year (2010),spc,3200000.0,16500000.0,2010
youth in revolt (2010),w/dim.,15300000.0,4400000.0,2010
buried (2010),lgf,1000000.0,18100000.0,2010
[rec] 2 (2010),magn.,27800.0,18500000.0,2010
repo men (2010),uni.,13800000.0,4600000.0,2010
a prophet (un prophète) (2010),spc,2100000.0,15800000.0,2010
